Content,author,published_date
United Airlines flight from US landed in Heathrow locked down when a passenger developed #COVIDｰ19 symptoms. #travelbannow #14daysglobalshutdownhttps://t.co/8rOEUSuCYS,Watching the world,"Fri, 14 Feb 2020 21:24:47 GMT"
Bats and snakes are for sale at an  Indonesian market despite of govt request to take them off the menu over the fears of a link to the deadly coronavirus.#CoronavirusFrance #COVIDー19 #COVIDｰ19 #WuhanCoronavirus #WuhanPneumonia #Indonesia pic.twitter.com/9dKO0k0MdO,Global Politics,"Sat, 15 Feb 2020 23:37:38 GMT"
Porn against boredom... 👍👍👍Cruise passengers offered free porn while on #COVIDー19 quarantinehttps://t.co/myqWy6DPxq,Redexec,"Sun, 16 Feb 2020 14:27:36 GMT"
#NCYT 5 billion people could end up with the virus!! How many test kits will they need then? @PrimerdesignLtd 😮😮😮😮😮🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀 #coronavirus #COVID19 #COVID2019 #COVIDー19        https://t.co/O8Te4PlXhE,stockmarket_maestro,"Thu, 13 Feb 2020 20:49:05 GMT"
"When what is happening in the world now gets made into a movie, we are in the opining credits, the montage of footage of the world getting worse as the names of the cast scroll across the screen. Its getting worse and the film has not even started. #COVIDー19 pic.twitter.com/eEeBMoK8gr",S McBride,"Fri, 14 Feb 2020 14:03:11 GMT"
Oh dear. I’ve been watching this for awhile. It got lost in the #COVIDー19 media frenzy. The fatality ratio for Ebola is 67% https://t.co/EVkpWqBdJd,Liset,"Thu, 13 Feb 2020 03:53:48 GMT"
"I'm calling BS on this whole #Coronavius #COVIDー19 #hoax . The Chinese release a very infectious but very mild virus to the world, yet claim its a killer and start rounding up whoever they want to pull off the streets. They will never be able to hide the truth!",IMHO_2017,"Wed, 12 Feb 2020 13:31:53 GMT"
"Very interesting interview with Xiao En, a former US Army virologist, who raises excellent questions about #nCoV_2019 #COVIDー19 #COVID2019 #COVID_2019 #SARSCoV2 https://t.co/HAvPDrIjZV",Billy Bostickson,"Sat, 15 Feb 2020 06:39:05 GMT"
Wuhan #coronavirus quarantine breakers being arrestedhttps://t.co/ljKZUgw718#COVIDー19,Dawnnbooks,"Fri, 14 Feb 2020 15:39:50 GMT"
"Hang in there my friend! We are all hoping for the best! The first way to stop the spread of #COVIDー19  is quarantine, which is NOT about stigma. Most people understand those affected by it are not bad people, they are just sick or have been exposed to this deadly virus.",Michele Zumwalt,"Sun, 16 Feb 2020 01:26:07 GMT"
THE CITY OF WUHAN AND PEOPLE WHO WORK THERE...😷#coronavirus #CoronavirusOutbreak #coronavirusjapan #coronavirusgermany #coronaviruschina #Coronavirusmexico #coronaviruswuhan #coronavirusthailand #COVIDー19 #coronavirususa #coronaviruscanada #coronavirusfrance #COVID19 pic.twitter.com/uPug3JHE8j,The Mask is needed to protect&nbsp;👍,"Sun, 16 Feb 2020 13:51:36 GMT"
Curfew footage of a City in Communist China. #coronavirus #CCP is more blatant to turn China into a police state. pic.twitter.com/XlKO7Cq3uT,Voice of Guo Media,"Sun, 16 Feb 2020 13:53:48 GMT"
"A Japanese quarantine officer has been confirmed to be infected with the #Coronavirus, all because they listened to WHO's guidelines saying that they only had to wear a mask and gloves.This is the work of China bribing them - WHO is turning into Winnie Happy Organization. pic.twitter.com/rY64urBUDC",凍檸茶少冰 &nbsp;😷&nbsp;🇭🇰,"Sun, 16 Feb 2020 14:33:24 GMT"
"Powerful. @NickKristof quotes Beijing law prof Xu Zhangrun’s raging essay which is now being passed around surreptitiously:”Faced with this virus, the Leader has flailed about. Although everyone looks to The One for the nod of approval, The One himself is clueless.” #Coronavirus https://t.co/6kYWWNlPMA",Samantha Power,"Sun, 16 Feb 2020 14:48:41 GMT"
